Original Text,Language,Translated Text
"Der Arbeiter bat die Angestellte um einen Gefallen, hasste sie jedoch heimlich.",Spanish,"El trabajador le pidió un favor a la empleada, pero la odiaba en secreto."
"Der Arbeiter bat die Angestellte um einen Gefallen, hasste sie jedoch heimlich.",Italian,"L'operaio chiese un favore all'impiegata, ma la odiava segretamente."
"Der Arbeiter bat die Angestellte um einen Gefallen, hasste sie jedoch heimlich.",French,"L'ouvrier a demandé un service à l'employée, mais la détestait secrètement."
"Der Arbeiter bat die Angestellte um einen Gefallen, hasste sie jedoch heimlich.",Russian,"Рабочий попросил сотрудницу об одолжении, но тайно ненавидел её."
"Der Arbeiter bat die Angestellte um einen Gefallen, hasste sie jedoch heimlich.",Ukrainian,"Робітник попросив працівницю про послугу, але таємно її ненавидів."
"Der Arbeiter bat die Angestellte um einen Gefallen, hasste sie jedoch heimlich.",Arabic,طلب العامل من الموظفة خدمة، لكنه كان يكرهها سراً.
"Der Arbeiter bat die Angestellte um einen Gefallen, hasste sie jedoch heimlich.",Hebrew,"העובד ביקש מהעובדת טובה, אך שנא אותה בסתר."
"Die Arbeiterin bat den Angestellten um einen Gefallen, hasste ihn jedoch heimlich.",Spanish,"La trabajadora le pidió un favor al empleado, pero lo odiaba en secreto."
"Die Arbeiterin bat den Angestellten um einen Gefallen, hasste ihn jedoch heimlich.",Italian,"La lavoratrice chiese un favore all'impiegato, ma lo odiava segretamente."
"Die Arbeiterin bat den Angestellten um einen Gefallen, hasste ihn jedoch heimlich.",French,"La travailleuse a demandé un service à l'employé, mais le détestait secrètement."
"Die Arbeiterin bat den Angestellten um einen Gefallen, hasste ihn jedoch heimlich.",Russian,"Рабочая попросила сотрудника об одолжении, но тайно ненавидела его."
"Die Arbeiterin bat den Angestellten um einen Gefallen, hasste ihn jedoch heimlich.",Ukrainian,"Працююча жінка попросила працівника про послугу, але таємно його ненавиділа."
"Die Arbeiterin bat den Angestellten um einen Gefallen, hasste ihn jedoch heimlich.",Arabic,طلبت العاملة من الموظف خدمة، لكنها كانت تكرهه سراً.
"Die Arbeiterin bat den Angestellten um einen Gefallen, hasste ihn jedoch heimlich.",Hebrew,"העובדת ביקשה מהעובד טובה, אך שנאה אותו בסתר."
"Die Bäckerin mochte den Bauarbeiter und versuchte, ihm Brot mit einem Rabatt zu verkaufen.",Spanish,La panadera le gustaba el obrero de la construcción y trató de venderle pan con un descuento.
"Die Bäckerin mochte den Bauarbeiter und versuchte, ihm Brot mit einem Rabatt zu verkaufen.",Italian,La panettiera piaceva all'operaio ed cercava di vendergli il pane con uno sconto.
"Die Bäckerin mochte den Bauarbeiter und versuchte, ihm Brot mit einem Rabatt zu verkaufen.",French,La boulangère aimait le maçon et essayait de lui vendre du pain avec une réduction.
"Die Bäckerin mochte den Bauarbeiter und versuchte, ihm Brot mit einem Rabatt zu verkaufen.",Russian,"Пекарша нравился строитель, и она пыталась продать ему хлеб со скидкой."
"Die Bäckerin mochte den Bauarbeiter und versuchte, ihm Brot mit einem Rabatt zu verkaufen.",Ukrainian,Пекарка подобалася будівельнику і намагалася продати йому хліб зі знижкою.
"Die Bäckerin mochte den Bauarbeiter und versuchte, ihm Brot mit einem Rabatt zu verkaufen.",Arabic,كانت الخبازة تحب عامل البناء وحاولت أن تبيع له الخبز بخصم.
"Die Bäckerin mochte den Bauarbeiter und versuchte, ihm Brot mit einem Rabatt zu verkaufen.",Hebrew,האפייה אהבה את פועל הבניין וניסתה למכור לו לחם בהנחה.
"Der Bäcker mochte die Bauarbeiterin und versuchte, ihr Brot mit einem Rabatt zu verkaufen.",Spanish,El panadero le gustaba la trabajadora de la construcción y trató de venderle pan con un descuento.
"Der Bäcker mochte die Bauarbeiterin und versuchte, ihr Brot mit einem Rabatt zu verkaufen.",Italian,Il panettiere piaceva la lavoratrice ed cercava di venderle il pane con uno sconto.
"Der Bäcker mochte die Bauarbeiterin und versuchte, ihr Brot mit einem Rabatt zu verkaufen.",French,Le boulanger aimait la ouvrière du bâtiment et essayait de lui vendre du pain avec une réduction.
"Der Bäcker mochte die Bauarbeiterin und versuchte, ihr Brot mit einem Rabatt zu verkaufen.",Russian,Пекарь любил строительницу и пытался продать ей хлеб со скидкой.
"Der Bäcker mochte die Bauarbeiterin und versuchte, ihr Brot mit einem Rabatt zu verkaufen.",Ukrainian,Пекар любив будівельницю і намагався продати їй хліб зі знижкою.
"Der Bäcker mochte die Bauarbeiterin und versuchte, ihr Brot mit einem Rabatt zu verkaufen.",Arabic,كان الخباز يحب عاملة البناء وحاول بيعها الخبز بخصم.
"Der Bäcker mochte die Bauarbeiterin und versuchte, ihr Brot mit einem Rabatt zu verkaufen.",Hebrew,האפייה אהבה את עובדת הבניין וניסתה למכור לה לחם בהנחה.
Die Designerin traf den Bauarbeiter und erklärte ihm das Design.,Spanish,La diseñadora se encontró con el trabajador de la construcción y le explicó el diseño.
Die Designerin traf den Bauarbeiter und erklärte ihm das Design.,Italian,La designer incontrò l'operaio ed gli spiegò il design.
Die Designerin traf den Bauarbeiter und erklärte ihm das Design.,French,La designer a rencontré le constructeur et lui a expliqué le design.
Die Designerin traf den Bauarbeiter und erklärte ihm das Design.,Russian,Дизайнер встретила строителя и объяснила ему дизайн.
Die Designerin traf den Bauarbeiter und erklärte ihm das Design.,Ukrainian,Дизайнер зустріла будівельника і пояснила йому дизайн.
Die Designerin traf den Bauarbeiter und erklärte ihm das Design.,Arabic,التصميم التقت بالعامل وشرحت له التصميم.
Die Designerin traf den Bauarbeiter und erklärte ihm das Design.,Hebrew,המעצבת פגשה את העובד הבניין והסבירה לו את העיצוב.
Der Designer traf die Bauarbeiterin und erklärte ihr das Design.,Spanish,El diseñador se encontró con la trabajadora de la construcción y le explicó el diseño.
Der Designer traf die Bauarbeiterin und erklärte ihr das Design.,Italian,Il designer incontrò l'operaia e le spiegò il design.
Der Designer traf die Bauarbeiterin und erklärte ihr das Design.,French,Le designer a rencontré la ouvrière du bâtiment et lui a expliqué le design.
Der Designer traf die Bauarbeiterin und erklärte ihr das Design.,Russian,Дизайнер встретил строительницу и объяснил ей дизайн.
Der Designer traf die Bauarbeiterin und erklärte ihr das Design.,Ukrainian,Дизайнер зустрів будівельницю і пояснив їй дизайн.
Der Designer traf die Bauarbeiterin und erklärte ihr das Design.,Arabic,التقى المصمم بالعاملة في البناء وشرح لها التصميم.
Der Designer traf die Bauarbeiterin und erklärte ihr das Design.,Hebrew,המעצב פגש את עובדת הבניין והסביר לה את העיצוב.
"Die Köchin bat den Krankenpfleger um Hilfe, weil ihre Mutter krank war.",Spanish,La cocinera pidió ayuda al enfermero porque su madre estaba enferma.
"Die Köchin bat den Krankenpfleger um Hilfe, weil ihre Mutter krank war.",Italian,La cuoca chiese aiuto all'infermiere perché sua madre era malata.
"Die Köchin bat den Krankenpfleger um Hilfe, weil ihre Mutter krank war.",French,La cuisinière a demandé de l'aide à l'infirmier parce que sa mère était malade.
"Die Köchin bat den Krankenpfleger um Hilfe, weil ihre Mutter krank war.",Russian,"Повариха попросила медсестру о помощи, потому что ее мать была больна."
"Die Köchin bat den Krankenpfleger um Hilfe, weil ihre Mutter krank war.",Ukrainian,"Кухарка попросила медсестру про допомогу, оскільки її мати була хвора."
"Die Köchin bat den Krankenpfleger um Hilfe, weil ihre Mutter krank war.",Arabic,طلبت الطاهية من الممرض المساعدة لأن والدتها كانت مريضة.
"Die Köchin bat den Krankenpfleger um Hilfe, weil ihre Mutter krank war.",Hebrew,"הטבחית ביקשה מהאח לעזור, כי אמה הייתה חולה."
"Der Koch bat die Krankenpflegerin um Hilfe, weil seine Mutter krank war.",Spanish,El cocinero pidió ayuda a la enfermera porque su madre estaba enferma.
"Der Koch bat die Krankenpflegerin um Hilfe, weil seine Mutter krank war.",Italian,Il cuoco chiese aiuto all'infermiera perché sua madre era malata.
"Der Koch bat die Krankenpflegerin um Hilfe, weil seine Mutter krank war.",French,Le cuisinier a demandé de l'aide à l'infirmière parce que sa mère était malade.
"Der Koch bat die Krankenpflegerin um Hilfe, weil seine Mutter krank war.",Russian,"Повар попросил медсестру о помощи, потому что его мать была больна."
"Der Koch bat die Krankenpflegerin um Hilfe, weil seine Mutter krank war.",Ukrainian,"Кухар попросив медсестру про допомогу, оскільки його мати була хвора."
"Der Koch bat die Krankenpflegerin um Hilfe, weil seine Mutter krank war.",Arabic,طلب الطباخ من المربية المساعدة لأن والدته كانت مريضة.
"Der Koch bat die Krankenpflegerin um Hilfe, weil seine Mutter krank war.",Hebrew,הטבח ביקש מסייעת הרופאים עזרה כי אמו הייתה חולה.
"Der Haushälter hat den Raum für die Köchin gereinigt und wartet darauf, dass sie Trinkgeld gibt.",Spanish,El ama de llaves ha limpiado el cuarto para la cocinera y está esperando a que ella le dé una propina.
"Der Haushälter hat den Raum für die Köchin gereinigt und wartet darauf, dass sie Trinkgeld gibt.",Italian,Il domestico ha pulito la stanza per la cuoca e aspetta che lei dia una mancia.
"Der Haushälter hat den Raum für die Köchin gereinigt und wartet darauf, dass sie Trinkgeld gibt.",French,Le majordome a nettoyé la pièce pour la cuisinière et attend qu'elle donne un pourboire.
"Der Haushälter hat den Raum für die Köchin gereinigt und wartet darauf, dass sie Trinkgeld gibt.",Russian,"Дворецкий убрал комнату для повара и ждет, когда она даст чаевые."
"Der Haushälter hat den Raum für die Köchin gereinigt und wartet darauf, dass sie Trinkgeld gibt.",Ukrainian,"Домогосподарка прибрала кімнату для кухаря і чекає, коли вона дасть чайові."
"Der Haushälter hat den Raum für die Köchin gereinigt und wartet darauf, dass sie Trinkgeld gibt.",Arabic,قام الخادم بتنظيف الغرفة للطباخة وينتظر أن تعطيه بقشيشًا.
"Der Haushälter hat den Raum für die Köchin gereinigt und wartet darauf, dass sie Trinkgeld gibt.",Hebrew,המנהל הבית ניקתה את החדר למבשלת וממתין שהיא תיתן טיפ.
"Die Haushälterin hat den Raum für den Koch gereinigt und wartet darauf, dass er Trinkgeld gibt.",Spanish,La ama de llaves ha limpiado la habitación para el cocinero y está esperando a que él le dé una propina.
"Die Haushälterin hat den Raum für den Koch gereinigt und wartet darauf, dass er Trinkgeld gibt.",Italian,La governante ha pulito la stanza per il cuoco e aspetta che lui dia una mancia.
"Die Haushälterin hat den Raum für den Koch gereinigt und wartet darauf, dass er Trinkgeld gibt.",French,La femme de ménage a nettoyé la pièce pour le cuisinier et attend qu'il lui donne un pourboire.
"Die Haushälterin hat den Raum für den Koch gereinigt und wartet darauf, dass er Trinkgeld gibt.",Russian,"Домработница убрала комнату для повара и ждет, когда он даст ей чаевые."
"Die Haushälterin hat den Raum für den Koch gereinigt und wartet darauf, dass er Trinkgeld gibt.",Ukrainian,"Домогосподарка прибрала кімнату для кухаря і чекає, коли він дасть чайові."
"Die Haushälterin hat den Raum für den Koch gereinigt und wartet darauf, dass er Trinkgeld gibt.",Arabic,نظفت الخادمة الغرفة للطباخ وتنتظر أن يعطيها إكرامية.
"Die Haushälterin hat den Raum für den Koch gereinigt und wartet darauf, dass er Trinkgeld gibt.",Hebrew,המנקה ניקתה את החדר עבור השף וממתינה לכך שהוא יתן טיפ.
"Die Bauarbeiterin stimmte sich mit dem Designer ab, damit er das Design besser erklären kann.",Spanish,La trabajadora de la construcción se coordinó con el diseñador para que él pudiera explicar mejor el diseño.
"Die Bauarbeiterin stimmte sich mit dem Designer ab, damit er das Design besser erklären kann.",Italian,La lavoratrice edile si è coordinata con il designer affinché potesse spiegare meglio il design.
"Die Bauarbeiterin stimmte sich mit dem Designer ab, damit er das Design besser erklären kann.",French,La ouvrière du bâtiment s'est coordonnée avec le designer afin qu'il puisse mieux expliquer le design.
"Die Bauarbeiterin stimmte sich mit dem Designer ab, damit er das Design besser erklären kann.",Russian,"Строительница согласовала свои действия с дизайнером, чтобы он мог лучше объяснить дизайн."
"Die Bauarbeiterin stimmte sich mit dem Designer ab, damit er das Design besser erklären kann.",Ukrainian,"Будівельниця узгодила з дизайнером, щоб він міг краще пояснити дизайн."
"Die Bauarbeiterin stimmte sich mit dem Designer ab, damit er das Design besser erklären kann.",Arabic,وافقت عاملة البناء على التنسيق مع المصمم حتى يتمكن من شرح التصميم بشكل أفضل.
"Die Bauarbeiterin stimmte sich mit dem Designer ab, damit er das Design besser erklären kann.",Hebrew,העובדת הבניין תיאמה עם המעצב כדי שהוא יוכל להסביר את העיצוב טוב יותר.
"Der Bauarbeiter stimmte sich mit der Designerin ab, damit sie das Design besser erklären kann.",Spanish,El trabajador de la construcción se coordinó con la diseñadora para que pudiera explicar mejor el diseño.
"Der Bauarbeiter stimmte sich mit der Designerin ab, damit sie das Design besser erklären kann.",Italian,L'operaio edile si è coordinato con la designer per poter spiegare meglio il design.
"Der Bauarbeiter stimmte sich mit der Designerin ab, damit sie das Design besser erklären kann.",French,Le travailleur de la construction s'est coordonné avec la designer afin qu'elle puisse mieux expliquer le design.
"Der Bauarbeiter stimmte sich mit der Designerin ab, damit sie das Design besser erklären kann.",Russian,"Строитель согласовал свои действия с дизайнером, чтобы она могла лучше объяснить дизайн."
"Der Bauarbeiter stimmte sich mit der Designerin ab, damit sie das Design besser erklären kann.",Ukrainian,"Будівельник узгодив свої дії з дизайнером, щоб вона могла краще пояснити дизайн."
"Der Bauarbeiter stimmte sich mit der Designerin ab, damit sie das Design besser erklären kann.",Arabic,تواصل عامل البناء مع المصممة حتى تتمكن من شرح التصميم بشكل أفضل.
"Der Bauarbeiter stimmte sich mit der Designerin ab, damit sie das Design besser erklären kann.",Hebrew,הקבלן הסכים עם המעצבת כדי שהיא תוכל להסביר את העיצוב טוב יותר.
Der Hausmeister räumte der Designerin den Raum auf und bat sie um Rat.,Spanish,El conserje ordenó la habitación de la diseñadora y le pidió consejo.
Der Hausmeister räumte der Designerin den Raum auf und bat sie um Rat.,Italian,Il custode ha sistemato la stanza per la designer e le ha chiesto un consiglio.
Der Hausmeister räumte der Designerin den Raum auf und bat sie um Rat.,French,Le concierge a rangé la pièce pour la designer et lui a demandé conseil.
Der Hausmeister räumte der Designerin den Raum auf und bat sie um Rat.,Russian,Дворник убрал комнату для дизайнера и попросил у нее совета.
Der Hausmeister räumte der Designerin den Raum auf und bat sie um Rat.,Ukrainian,Убиральник прибрав кімнату для дизайнерки і попросив її про пораду.
Der Hausmeister räumte der Designerin den Raum auf und bat sie um Rat.,Arabic,قام عامل الصيانة بتنظيف الغرفة للمصممة وطلب منها النصيحة.
Der Hausmeister räumte der Designerin den Raum auf und bat sie um Rat.,Hebrew,הסדרן סידר את החדר למעצבת וביקש ממנה עצה.
Die Hausmeisterin räumte dem Designer den Raum auf und bat ihn um Rat.,Spanish,La conserje ordenó la habitación al diseñador y le pidió consejo.
Die Hausmeisterin räumte dem Designer den Raum auf und bat ihn um Rat.,Italian,La custode ha sistemato la stanza per il designer e gli ha chiesto un consiglio.
Die Hausmeisterin räumte dem Designer den Raum auf und bat ihn um Rat.,French,La concierge a rangé la pièce pour le designer et lui a demandé conseil.
Die Hausmeisterin räumte dem Designer den Raum auf und bat ihn um Rat.,Russian,Дворник убрала комнату для дизайнера и попросила его о совете.
Die Hausmeisterin räumte dem Designer den Raum auf und bat ihn um Rat.,Ukrainian,Домогосподарка прибрала кімнату дизайнера і попросила його про пораду.
Die Hausmeisterin räumte dem Designer den Raum auf und bat ihn um Rat.,Arabic,نظمت المديرة المنزلية الغرفة للمصمم وطلبت منه النصيحة.
Die Hausmeisterin räumte dem Designer den Raum auf und bat ihn um Rat.,Hebrew,העוזרת ניקיון סידרה למעצב את החדר וביקשה ממנו עצה.
"Der Sekretär korrigierte die Entwicklerin und forderte sie auf, sich keine Sorgen zu machen.",Spanish,El secretario corrigió a la desarrolladora y le pidió que no se preocupara.
"Der Sekretär korrigierte die Entwicklerin und forderte sie auf, sich keine Sorgen zu machen.",Italian,Il segretario ha corretto la sviluppatrice e le ha chiesto di non preoccuparsi.
"Der Sekretär korrigierte die Entwicklerin und forderte sie auf, sich keine Sorgen zu machen.",French,Le secrétaire a corrigé la développeuse et lui a demandé de ne pas s'inquiéter.
"Der Sekretär korrigierte die Entwicklerin und forderte sie auf, sich keine Sorgen zu machen.",Russian,Секретарь исправил разработчицу и попросил ее не волноваться.
"Der Sekretär korrigierte die Entwicklerin und forderte sie auf, sich keine Sorgen zu machen.",Ukrainian,Секретар виправив розробницю і закликав її не хвилюватися.
"Der Sekretär korrigierte die Entwicklerin und forderte sie auf, sich keine Sorgen zu machen.",Arabic,صحح السكرتير المطورة وطلب منها ألا تقلق.
"Der Sekretär korrigierte die Entwicklerin und forderte sie auf, sich keine Sorgen zu machen.",Hebrew,המזכיר תיקן את המפתחת וביקש ממנה לא לדאוג.
"Die Sekretärin korrigierte den Entwickler und forderte ihn auf, sich keine Sorgen zu machen.",Spanish,La secretaria corrigió al desarrollador y le pidió que no se preocupara.
"Die Sekretärin korrigierte den Entwickler und forderte ihn auf, sich keine Sorgen zu machen.",Italian,La segretaria ha corretto lo sviluppatore e gli ha chiesto di non preoccuparsi.
"Die Sekretärin korrigierte den Entwickler und forderte ihn auf, sich keine Sorgen zu machen.",French,La secrétaire a corrigé le développeur et lui a demandé de ne pas s'inquiéter.
"Die Sekretärin korrigierte den Entwickler und forderte ihn auf, sich keine Sorgen zu machen.",Russian,Секретарь исправила разработчика и попросила его не волноваться.
"Die Sekretärin korrigierte den Entwickler und forderte ihn auf, sich keine Sorgen zu machen.",Ukrainian,Секретарка виправила розробника і закликала його не турбуватися.
"Die Sekretärin korrigierte den Entwickler und forderte ihn auf, sich keine Sorgen zu machen.",Arabic,صححت السكرتيرة المطور وطالبته بعدم القلق.
"Die Sekretärin korrigierte den Entwickler und forderte ihn auf, sich keine Sorgen zu machen.",Hebrew,המלצרית תיקנה את המפתח וביקשה ממנו לא לדאוג.
"Der Entwickler konnte die Steuerberaterin nicht verstehen, da er nur das Programmieren beherrscht.",Spanish,"El desarrollador no pudo entender a la asesora fiscal, ya que solo domina la programación."
"Der Entwickler konnte die Steuerberaterin nicht verstehen, da er nur das Programmieren beherrscht.",Italian,"Lo sviluppatore non riusciva a capire la consulente fiscale, poiché conosceva solo la programmazione."
"Der Entwickler konnte die Steuerberaterin nicht verstehen, da er nur das Programmieren beherrscht.",French,Le développeur ne pouvait pas comprendre la conseillère fiscale car il ne maîtrise que la programmation.
"Der Entwickler konnte die Steuerberaterin nicht verstehen, da er nur das Programmieren beherrscht.",Russian,"Разработчик не смог понять налогового консультанта, так как он владеет только программированием."
"Der Entwickler konnte die Steuerberaterin nicht verstehen, da er nur das Programmieren beherrscht.",Ukrainian,"Розробник не міг зрозуміти податкового консультанта, оскільки він володіє лише програмуванням."
"Der Entwickler konnte die Steuerberaterin nicht verstehen, da er nur das Programmieren beherrscht.",Arabic,لم يتمكن المطور من فهم المستشارة الضريبية لأنه يتقن البرمجة فقط.
"Der Entwickler konnte die Steuerberaterin nicht verstehen, da er nur das Programmieren beherrscht.",Hebrew,המפתח לא הצליח להבין את רואת החשבון כי הוא שולט רק בתכנות.
"Die Entwicklerin konnte den Steuerberater nicht verstehen, da sie nur das Programmieren beherrscht.",Spanish,"La desarrolladora no pudo entender al asesor fiscal, ya que solo domina la programación."
"Die Entwicklerin konnte den Steuerberater nicht verstehen, da sie nur das Programmieren beherrscht.",Italian,"La sviluppatrice non riusciva a capire il commercialista, poiché sapeva solo programmare."
"Die Entwicklerin konnte den Steuerberater nicht verstehen, da sie nur das Programmieren beherrscht.",French,"La développeuse ne pouvait pas comprendre le conseiller fiscal, car elle ne maîtrise que la programmation."
"Die Entwicklerin konnte den Steuerberater nicht verstehen, da sie nur das Programmieren beherrscht.",Russian,"Разработчица не могла понять налогового консультанта, так как она владеет только программированием."
"Die Entwicklerin konnte den Steuerberater nicht verstehen, da sie nur das Programmieren beherrscht.",Ukrainian,"Розробниця не змогла зрозуміти податкового консультанта, оскільки вона володіє лише програмуванням."
"Die Entwicklerin konnte den Steuerberater nicht verstehen, da sie nur das Programmieren beherrscht.",Arabic,لم تتمكن المطورة من فهم المستشار الضريبي لأنها تتقن البرمجة فقط.
"Die Entwicklerin konnte den Steuerberater nicht verstehen, da sie nur das Programmieren beherrscht.",Hebrew,"המפתחת לא הצליחה להבין את רואה החשבון, מכיוון שהיא שולטת רק בתכנות."
Der Schneider schrie die Fahrerin an und nannte sie einen Dummkopf.,Spanish,El sastre le gritó a la conductora y la llamó idiota.
Der Schneider schrie die Fahrerin an und nannte sie einen Dummkopf.,Italian,Il sarto urlò contro l'autista e la chiamò stupida.
Der Schneider schrie die Fahrerin an und nannte sie einen Dummkopf.,French,Le tailleur a crié sur la conductrice et l'a traitée d'idiote.
Der Schneider schrie die Fahrerin an und nannte sie einen Dummkopf.,Russian,Портной закричал на водителя и назвал его дураком.
Der Schneider schrie die Fahrerin an und nannte sie einen Dummkopf.,Ukrainian,Кравець закричав на водійку і назвав її дурепою.
Der Schneider schrie die Fahrerin an und nannte sie einen Dummkopf.,Arabic,صرخ الخياط على السائقة ولقبها بالأحمق.
Der Schneider schrie die Fahrerin an und nannte sie einen Dummkopf.,Hebrew,החייט צעק על הנהגת וקרא לה טיפשה.
Die Schneiderin schrie den Fahrer an und nannte ihn einen Dummkopf.,Spanish,La modista le gritó al conductor y lo llamó tonto.
Die Schneiderin schrie den Fahrer an und nannte ihn einen Dummkopf.,Italian,La sarta urlò al conducente e lo chiamò stupido.
Die Schneiderin schrie den Fahrer an und nannte ihn einen Dummkopf.,French,La couturière a crié sur le chauffeur et l'a traité d'imbécile.
Die Schneiderin schrie den Fahrer an und nannte ihn einen Dummkopf.,Russian,Швея закричала на водителя и назвала его дураком.
Die Schneiderin schrie den Fahrer an und nannte ihn einen Dummkopf.,Ukrainian,Швачка закричала на водія і назвала його дурнем.
Die Schneiderin schrie den Fahrer an und nannte ihn einen Dummkopf.,Arabic,صرخت الخياطة في السائق وسمته أحمق.
Die Schneiderin schrie den Fahrer an und nannte ihn einen Dummkopf.,Hebrew,התופרת צעקה על הנהג וקראה לו טיפש.
"Die Fahrerin fuhr den Angestellten um, weil sie ein Handy beim fahren benutzte.",Spanish,La conductora atropelló al empleado porque estaba usando un teléfono móvil mientras conducía.
"Die Fahrerin fuhr den Angestellten um, weil sie ein Handy beim fahren benutzte.",Italian,L'autista ha investito l'impiegato perché stava usando un cellulare mentre guidava.
"Die Fahrerin fuhr den Angestellten um, weil sie ein Handy beim fahren benutzte.",French,La conductrice a renversé l'employé parce qu'elle utilisait un téléphone portable en conduisant.
"Die Fahrerin fuhr den Angestellten um, weil sie ein Handy beim fahren benutzte.",Russian,"Водительница сбила сотрудника, потому что использовала мобильный телефон во время вождения."
"Die Fahrerin fuhr den Angestellten um, weil sie ein Handy beim fahren benutzte.",Ukrainian,"Водійка наїхала на працівника, оскільки користувалася телефоном під час водіння."
"Die Fahrerin fuhr den Angestellten um, weil sie ein Handy beim fahren benutzte.",Arabic,صدمت السائقة الموظف لأنها كانت تستخدم هاتفًا محمولًا أثناء القيادة.
"Die Fahrerin fuhr den Angestellten um, weil sie ein Handy beim fahren benutzte.",Hebrew,הנהגת פגעה בעובד כי היא השתמשה בטלפון נייד בזמן נהיגה.
"Der Fahrer fuhr die Angestellte um, weil er ein Handy beim fahren benutzte.",Spanish,El conductor atropelló a la empleada porque estaba usando un teléfono móvil mientras conducía.
"Der Fahrer fuhr die Angestellte um, weil er ein Handy beim fahren benutzte.",Italian,Il conducente ha investito l'impiegata perché stava usando un cellulare mentre guidava.
"Der Fahrer fuhr die Angestellte um, weil er ein Handy beim fahren benutzte.",French,Le conducteur a renversé l'employée parce qu'il utilisait un téléphone en conduisant.
"Der Fahrer fuhr die Angestellte um, weil er ein Handy beim fahren benutzte.",Russian,"Водитель сбил сотрудницу, потому что использовал мобильный телефон во время вождения."
"Der Fahrer fuhr die Angestellte um, weil er ein Handy beim fahren benutzte.",Ukrainian,"Водій збив працівницю, оскільки користувався мобільним телефоном під час їзди."
"Der Fahrer fuhr die Angestellte um, weil er ein Handy beim fahren benutzte.",Arabic,صدم السائق الموظفة لأنه كان يستخدم هاتفه أثناء القيادة.
"Der Fahrer fuhr die Angestellte um, weil er ein Handy beim fahren benutzte.",Hebrew,הנהג פגע בעובדת כי השתמש בטלפון נייד בזמן הנהיגה.
"Die Verkäuferin rief den Redakteur an und bat ihn, einen Artikel über das Unternehmen zu schreiben.",Spanish,La vendedora llamó al editor y le pidió que escribiera un artículo sobre la empresa.
"Die Verkäuferin rief den Redakteur an und bat ihn, einen Artikel über das Unternehmen zu schreiben.",Italian,La venditrice ha chiamato il redattore e gli ha chiesto di scrivere un articolo sull'azienda.
"Die Verkäuferin rief den Redakteur an und bat ihn, einen Artikel über das Unternehmen zu schreiben.",French,La vendeuse a appelé le rédacteur et lui a demandé d'écrire un article sur l'entreprise.
"Die Verkäuferin rief den Redakteur an und bat ihn, einen Artikel über das Unternehmen zu schreiben.",Russian,Продавщица позвонила редактору и попросила его написать статью о компании.
"Die Verkäuferin rief den Redakteur an und bat ihn, einen Artikel über das Unternehmen zu schreiben.",Ukrainian,Продавець зателефонував редактору і попросив його написати статтю про компанію.
"Die Verkäuferin rief den Redakteur an und bat ihn, einen Artikel über das Unternehmen zu schreiben.",Arabic,استدعت البائعة المحرر وطلبت منه كتابة مقال عن الشركة.
"Die Verkäuferin rief den Redakteur an und bat ihn, einen Artikel über das Unternehmen zu schreiben.",Hebrew,המוכרת התקשרה לעורך וביקשה ממנו לכתוב מאמר על החברה.
"Der Verkäufer rief die Redakteurin an und bat sie, einen Artikel über das Unternehmen zu schreiben.",Spanish,El vendedor llamó a la editora y le pidió que escribiera un artículo sobre la empresa.
"Der Verkäufer rief die Redakteurin an und bat sie, einen Artikel über das Unternehmen zu schreiben.",Italian,Il venditore ha chiamato la redattrice e le ha chiesto di scrivere un articolo sull'azienda.
"Der Verkäufer rief die Redakteurin an und bat sie, einen Artikel über das Unternehmen zu schreiben.",French,Le vendeur a appelé la rédactrice et lui a demandé d'écrire un article sur l'entreprise.
"Der Verkäufer rief die Redakteurin an und bat sie, einen Artikel über das Unternehmen zu schreiben.",Russian,Продавец позвонил редактору и попросил ее написать статью о компании.
"Der Verkäufer rief die Redakteurin an und bat sie, einen Artikel über das Unternehmen zu schreiben.",Ukrainian,Продавець зателефонував редакторці і попросив її написати статтю про компанію.
"Der Verkäufer rief die Redakteurin an und bat sie, einen Artikel über das Unternehmen zu schreiben.",Arabic,اتصل البائع بالصحفية وطلب منها كتابة مقال عن الشركة.
"Der Verkäufer rief die Redakteurin an und bat sie, einen Artikel über das Unternehmen zu schreiben.",Hebrew,המוכר התקשר לעורכת וביקש ממנה לכתוב מאמר על החברה.
Die Polizistin rettete den Redakteur vor den Demonstranten und fuhr ihn nach Hause.,Spanish,La policía salvó al editor de los manifestantes y lo llevó a casa.
Die Polizistin rettete den Redakteur vor den Demonstranten und fuhr ihn nach Hause.,Italian,La poliziotta ha salvato il redattore dai manifestanti e lo ha portato a casa.
Die Polizistin rettete den Redakteur vor den Demonstranten und fuhr ihn nach Hause.,French,La policière a sauvé le rédacteur des manifestants et l'a conduit chez lui.
Die Polizistin rettete den Redakteur vor den Demonstranten und fuhr ihn nach Hause.,Russian,Полицейская спасла редактора от демонстрантов и отвезла его домой.
Die Polizistin rettete den Redakteur vor den Demonstranten und fuhr ihn nach Hause.,Ukrainian,Поліцейська врятувала редактора від демонстрантів і відвезла його додому.
Die Polizistin rettete den Redakteur vor den Demonstranten und fuhr ihn nach Hause.,Arabic,أنقذت الشرطية المحرر من المتظاهرين وأخذته إلى منزله.
Die Polizistin rettete den Redakteur vor den Demonstranten und fuhr ihn nach Hause.,Hebrew,השוטרת הצילה את העורך מהמפגינים והסיעה אותו הביתה.
